Candidate,Source,Date,Score
Clinton,bloomberg.com,2016-09-24,-0.16064780959999997
Clinton,bloomberg.com,2016-09-26,0.1851967584
Clinton,bloomberg.com,2016-09-27,0.19176777154999994
Clinton,bloomberg.com,2016-09-28,0.31676927045
Clinton,bloomberg.com,2016-09-30,-0.0030759921666666614
Clinton,bloomberg.com,2016-10-01,0.2407355953666667
Clinton,bloomberg.com,2016-10-02,-0.285242802
Clinton,bloomberg.com,2016-10-03,-0.1813544039846154
Clinton,bloomberg.com,2016-10-04,0.030642745774999997
Clinton,bloomberg.com,2016-10-05,0.13688009456666667
Clinton,bloomberg.com,2016-10-07,-0.050776935776923056
Clinton,breitbart.com,2016-08-15,-0.2615604995
Clinton,breitbart.com,2016-08-16,-0.23132667626
Clinton,breitbart.com,2016-08-17,-0.05381495408571429
Clinton,breitbart.com,2016-08-18,-0.22033662236428572
Clinton,breitbart.com,2016-08-19,-0.2376250169346153
Clinton,breitbart.com,2016-08-20,-0.17748370797500002
Clinton,breitbart.com,2016-08-21,-0.18086604777170726
Clinton,breitbart.com,2016-08-22,-0.34162420083999995
Clinton,breitbart.com,2016-08-23,-0.2806414259605
Clinton,breitbart.com,2016-08-24,-0.25194994252926833
Clinton,breitbart.com,2016-08-25,-0.259640992
Clinton,breitbart.com,2016-08-26,-0.26290355545000005
Clinton,breitbart.com,2016-08-27,-0.13646362305
Clinton,breitbart.com,2016-08-28,-0.2090239272
Clinton,breitbart.com,2016-08-30,-0.27475488497672723
Clinton,breitbart.com,2016-08-31,-0.23991178445000005
Clinton,breitbart.com,2016-09-01,-0.22916867691538464
Clinton,breitbart.com,2016-09-02,-0.2861938220526316
Clinton,breitbart.com,2016-09-05,-0.25696042445
Clinton,breitbart.com,2016-09-06,-0.28970926856956525
Clinton,breitbart.com,2016-09-07,-0.20818192452999995
Clinton,breitbart.com,2016-09-08,-0.08903524475
Clinton,breitbart.com,2016-09-09,-0.13960360124444446
Clinton,breitbart.com,2016-09-10,-0.31328335105000005
Clinton,breitbart.com,2016-09-11,-0.42850399
Clinton,breitbart.com,2016-09-12,-0.2450101126666667
Clinton,breitbart.com,2016-09-13,-0.20766985276999997
Clinton,breitbart.com,2016-09-14,-0.2292961626
Clinton,breitbart.com,2016-09-15,-0.08576212865891893
Clinton,breitbart.com,2016-09-16,-0.3222098333333334
Clinton,breitbart.com,2016-09-17,-0.2569842329333334
Clinton,breitbart.com,2016-09-18,-0.30030403837499997
Clinton,breitbart.com,2016-09-19,-0.2937350233416667
Clinton,breitbart.com,2016-09-20,-0.37966420659999994
Clinton,breitbart.com,2016-09-21,-0.2918795860892857
Clinton,breitbart.com,2016-09-22,-0.24956150879999994
Clinton,breitbart.com,2016-09-23,-0.18481445099583335
Clinton,breitbart.com,2016-09-24,-0.23359336788333337
Clinton,breitbart.com,2016-09-25,-0.15384123788200002
Clinton,breitbart.com,2016-09-26,-0.09151820643749999
Clinton,breitbart.com,2016-09-27,-0.1848814702411765
Clinton,breitbart.com,2016-09-28,-0.25130046235555553
Clinton,breitbart.com,2016-09-29,-0.027060857857142868
Clinton,breitbart.com,2016-09-30,-0.22051247502903223
Clinton,breitbart.com,2016-10-01,-0.18831847983666666
Clinton,breitbart.com,2016-10-02,-0.3393820164972222
Clinton,breitbart.com,2016-10-03,-0.3072435048122449
Clinton,breitbart.com,2016-10-04,-0.2449981858828572
Clinton,breitbart.com,2016-10-05,-0.05593299850000001
Clinton,breitbart.com,2016-10-07,-0.28319738253
Clinton,cadillacnews.com,2016-08-15,-0.3509716184615384
Clinton,cadillacnews.com,2016-08-17,-0.35546233283333334
Clinton,cadillacnews.com,2016-08-18,-0.3817391278413793
Clinton,cadillacnews.com,2016-08-19,-0.363707213
Clinton,cadillacnews.com,2016-08-20,-0.3312466641111111
Clinton,cadillacnews.com,2016-08-21,-0.34004825375000003
Clinton,cadillacnews.com,2016-08-24,-0.36353775875000005
Clinton,cadillacnews.com,2016-08-25,-0.345857486
Clinton,cadillacnews.com,2016-08-26,-0.2670105433
Clinton,cadillacnews.com,2016-08-27,-0.2703630105
Clinton,cadillacnews.com,2016-08-29,-0.498604
Clinton,cadillacnews.com,2016-08-30,-0.24427969263333335
Clinton,cadillacnews.com,2016-08-31,-0.4202962891052631
Clinton,cadillacnews.com,2016-09-01,-0.45592375075
Clinton,cadillacnews.com,2016-09-04,-0.37968759519999995
Clinton,cadillacnews.com,2016-09-05,-0.3677902097916667
Clinton,cadillacnews.com,2016-09-06,-0.2816500008
Clinton,cadillacnews.com,2016-09-07,-0.3122860012
Clinton,cadillacnews.com,2016-09-08,-0.384492993
Clinton,cadillacnews.com,2016-09-09,-0.1669225692
Clinton,cadillacnews.com,2016-09-12,-0.28200939975
Clinton,cadillacnews.com,2016-09-13,-0.23930935764285707
Clinton,cadillacnews.com,2016-09-14,-0.33330000111111113
Clinton,cadillacnews.com,2016-09-16,-0.3485692887894734
Clinton,cadillacnews.com,2016-09-21,-0.34225633233333336
Clinton,cadillacnews.com,2016-09-22,-0.4239353473913044
Clinton,cadillacnews.com,2016-09-23,-0.3481866386428571
Clinton,cadillacnews.com,2016-09-27,-0.3304054275714285
Clinton,cadillacnews.com,2016-09-28,-0.20333963369999997
Clinton,cadillacnews.com,2016-09-29,-0.312067986
Clinton,cadillacnews.com,2016-09-30,-0.3642808391290322
Clinton,cadillacnews.com,2016-10-03,-0.3735698592857143
Clinton,cadillacnews.com,2016-10-04,-0.348728001
Clinton,cbsnews.com,2016-08-17,-0.11511368717142857
Clinton,cbsnews.com,2016-08-18,-0.20106125075
Clinton,cbsnews.com,2016-08-19,-0.2953825782857143
Clinton,cbsnews.com,2016-08-20,-0.20994533363333326
Clinton,cbsnews.com,2016-08-23,-0.19829266533333334
Clinton,cbsnews.com,2016-08-24,-0.28513910877777776
Clinton,cbsnews.com,2016-08-25,-0.3672277988
Clinton,cbsnews.com,2016-08-26,-0.34981000049999994
Clinton,cbsnews.com,2016-08-27,-0.216667995
Clinton,cbsnews.com,2016-08-29,-0.38784380840000005
Clinton,cbsnews.com,2016-08-30,-0.303200224925
Clinton,cbsnews.com,2016-08-31,-0.2537791666666666
Clinton,cbsnews.com,2016-09-01,-0.394360006
Clinton,cbsnews.com,2016-09-04,0.146148995
Clinton,cbsnews.com,2016-09-05,-0.3374616676666667
Clinton,cbsnews.com,2016-09-06,-0.337938011
Clinton,cbsnews.com,2016-09-07,-0.392376989
Clinton,cbsnews.com,2016-09-08,-0.12465922242608694
Clinton,cbsnews.com,2016-09-09,-0.15771581754545455
Clinton,cbsnews.com,2016-09-11,-0.20537019912499999
Clinton,cbsnews.com,2016-09-12,-0.27095133260000004
Clinton,cbsnews.com,2016-09-13,-0.1706255541473684
Clinton,cbsnews.com,2016-09-14,-0.19609721986666667
Clinton,cbsnews.com,2016-09-15,-0.14838614374545456
Clinton,cbsnews.com,2016-09-16,-0.24034419959411762
Clinton,cbsnews.com,2016-09-18,-0.17519504707894737
Clinton,cbsnews.com,2016-09-19,-0.2562148006
Clinton,cbsnews.com,2016-09-20,-0.33567876902000005
Clinton,cbsnews.com,2016-09-21,-0.28451335678444445
Clinton,cbsnews.com,2016-09-22,-0.27061994611488566
Clinton,cbsnews.com,2016-09-24,-0.07559889754999999
Clinton,cbsnews.com,2016-09-25,0.0393149231195652
Clinton,cbsnews.com,2016-09-26,-0.07188226587799999
Clinton,cbsnews.com,2016-09-27,-0.23347432765263162
Clinton,cbsnews.com,2016-09-28,-0.027166598899999995
Clinton,cbsnews.com,2016-09-29,-0.32754159239999997
Clinton,cbsnews.com,2016-09-30,-0.34148886393103456
Clinton,cbsnews.com,2016-10-01,-0.023910505750000016
Clinton,cbsnews.com,2016-10-02,-0.23803283723454546
Clinton,cbsnews.com,2016-10-03,-0.26480890478125
Clinton,cbsnews.com,2016-10-04,-0.08254003758181817
Clinton,chicagotribune.com,2016-08-16,-0.236915499
Clinton,chicagotribune.com,2016-08-18,-0.17618583141666666
Clinton,chicagotribune.com,2016-08-19,-0.3022540768785715
Clinton,chicagotribune.com,2016-08-20,-0.19693350225
Clinton,chicagotribune.com,2016-08-21,-0.09313774193952382
Clinton,chicagotribune.com,2016-08-22,-0.2020591141157895
Clinton,chicagotribune.com,2016-08-23,-0.2346787175714286
Clinton,chicagotribune.com,2016-08-24,-0.27566372533571426
Clinton,chicagotribune.com,2016-08-26,-0.2503907715384615
Clinton,chicagotribune.com,2016-08-27,0.0517832004
Clinton,chicagotribune.com,2016-08-28,-0.27230265733333336
Clinton,chicagotribune.com,2016-08-30,-0.14874677641857145
Clinton,chicagotribune.com,2016-08-31,-0.1899466736291667
Clinton,chicagotribune.com,2016-09-01,-0.19500151198750001
Clinton,chicagotribune.com,2016-09-02,-0.17527672491250001
Clinton,chicagotribune.com,2016-09-05,0.0855655075
Clinton,chicagotribune.com,2016-09-06,-0.23160259877000003
Clinton,chicagotribune.com,2016-09-07,-0.3301510835833334
Clinton,chicagotribune.com,2016-09-09,-0.288188666996
Clinton,chicagotribune.com,2016-09-10,-0.631648004
Clinton,chicagotribune.com,2016-09-13,-0.21692063426666666
Clinton,chicagotribune.com,2016-09-14,-0.1259705772882353
Clinton,chicagotribune.com,2016-09-15,-0.26674365013749995
Clinton,chicagotribune.com,2016-09-16,-0.2508405
Clinton,chicagotribune.com,2016-09-17,-0.148752004
Clinton,chicagotribune.com,2016-09-18,-0.169170007
Clinton,chicagotribune.com,2016-09-19,-0.11596986215
Clinton,chicagotribune.com,2016-09-21,-0.3215273976
Clinton,chicagotribune.com,2016-09-22,-0.29385481044705875
Clinton,chicagotribune.com,2016-09-23,-0.2363043332
